Name;Latitude;Longitude;Address
Praxis Dr. Schön;48.57139512719789;13.475645235790411;Kapuzinerstraße 47, 94032 Passau
Dr.med. Mechthild Gassel Praktische Ärztin;48.57140935764832;13.45771959433845;Kleiner Exerzierpl. 14A, 94032 Passau
Facharztzentrum Schießstattweg;48.569559799977945;13.43329690887499;Schießstattweg 62, 94032 Passau
Dr.med. Florian Kollinger - Facharzt für Innere Medizin / Hausärztliche Versorgung;48.58507415762301;13.396101650701066;Carossastraße 5 a, 94036 Passau
RADIO-LOG MVZ Passau Schießstattweg, Kinder- und Jugendmedizin;48.56986603907282;13.434269403197199;Schießstattweg 60, 94032 Passau
KVB-Bereitschaftspraxis Passau Kinder;48.566491454151;13.446162692378884;an der Kinderklinik Dritter Orden, Bischof-Altmann-Straße 9, 94032 Passau
Herr Dr. med. Christian Schropp;48.56653415435531;13.446329641032866;Bischof-Altmann-Straße 9, 94032 Passau
Dr. med. Andreas Pontz, Dr. Konrad Wimmer;48.575018687714675;13.45690367297457;Am Schanzl 8, 94032 Passau
Kinderarzt Dr. med. Georg Handwerker;48.57432415081952;13.459159666488185;Ludwigstraße 18, 94032 Passau
Dr. Bernadette Donath Fachärztin für Kinder- und Jugendmedizin;48.574483582354446;13.472108497678974;Michaeligasse 10, 94032 Passau

